OnHold	Id	Prewords	Keywords	Paraphrase	Example	Origin	References	Comment
	28800		end on a high note	finish positively	We’ve had so many problems with the project, but I think we’re going to end on a high note.	Possibly alludes to the stereotypical opera performance, which ends on a forceful prolonged high note.		
GroupF
	28900	a	face plant (or face-plant)	a complete failure	Andy’s presentation was a real face plant.	Possibly alludes to a hard fall taken in skiing, skateboarding, or similar sports; or possibly alludes to falling as a facet of physical comedy.		
	29000		face the music	accept (one’s) reprimands	I got caught, so it looks like I have to go face the music.			
	29100		fair and square	completely fairly	We need to do this fair and square so no one feels shortchanged.			
	29200	a	fair shake	a fair opportunity	Andy didn’t do well in the tryouts, but he wasn’t given a fair shake.			
	29300	the	fall guy	person unfairly blamed	He always seems to be the fall guy when his buddies cause trouble.	Alludes to Albert Fall, US Secretary of the Interior convicted in the Teapot Dome scandal of receiving a bribe when the giver of the same bribe was acquitted.		
	29400		fall on (one’s own) sword	sacrifice (oneself)	Andy had to fall on her sword, because her boss certainly wasn’t going to take the blame.	Alludes to to the historical Japanese Samurai practice of ritual suicide intended to redeem one’s honor and performed by disemboweling oneself with a sword.		Implies sacrificing oneself to protect one’s superior. This can only be said of a person falling on his or her own sword. No one can be said to fall on someone else’s sword.
	29500		fall through the cracks	be overlooked	We’ve been really busy around here and I’m afraid your application just fell through the cracks.			
	29600		famous last words	omens of failure	Andy’s says she’ll ski right down this slope, but those sound like famous last words.			
	29700		fast forward	move forward in time	Fast forward six weeks, and Andy was suddenly less enamored with her new boyfriend.	Alludes to to the capability of rapidly moving forward in video or audio recordings.		
	29800		fast out of the gate	on task immediately	Andy was certainly fast out of the gate on her assignment.			
**	29900	a	Faustian bargain					
	30000	a	feather in (one’s) cap	recognized accomplishment	That Andy did such a good job is a feather in her cap.			
	30100	a	feeding frenzy	a group onslaught	When they started giving away all the used computer equipment, the engineers had an absolute feeding frenzy.			
	30200		feet of clay	fallibility	Andy got a B on his test! He has feet of clay after all.	Alludes to the Biblical book of <b><i>Daniel</i></b>, where feet of clay are interpreted to indicate weakness.		
	30300		fiddle while Rome burns	ignore a crisis	The company is falling apart, but he’s just fiddling while Rome burns.	Alludes to the legend that Nero, an emperor of the Roman Empire, was playing a fiddle while the city of Rome burned.		Implies attending to trivialities while ignoring the crisis.
**	30400	a	field day	a day of rampant success	The reporters are having a field day picking apart his evasive answers.	nautical, day for cleaning up		
	30500	a	fielder’s choice	a choice between equal alternatives	I’s a fielder’s choice for me, so you choose where we eat.	Alludes to baseball, where a fielder sometimes has a choice between two equal opportunities to get an out. 		
**	30600		fifth column					
**	30700	a	fig leaf	inadequate attempt at disguise		Alludes to the Biblical story of the Garden of Eden, where Adam and Eve were created naked but are frequently depicted in art with a fig leaf covering their genitals.		
	30800		fight fire with fire	respond with the same tactics	If they think a purely emotional appeal will work, we’ll just have to fight fire with fire.			
	30900		fill (or fit) the bill	meet the requirements	I think this place will fill the bill nicely.	Probably alludes to a concert or similar performance where several acts or pieces are necessary to create a full schedule of entertainment.		
**	31000		final cut			movies? sports?		
	31100	the	final nail in (one’s) (or the) coffin	the final step to failure	She’s gone. Flunking that course was the final nail in her coffin. 			
	31200	a	fire drill	a practice routine	This security systems test is annoying and time-consuming, but it’s a necessary fire drill.			Can imply that the routine is also pointless.
	31300	the	first string	the top performers	This is an important conference, so we’re sending our first string.	Possibly originally alludes to a line of pack horses or mules connected one to the next by ropes; now commonly used to refer to starting players on sports teams.		
	31400	the	first team	the top performers	This is an important conference, so we’re sending our first team.	Alludes to sports teams, where the best players make up the first team.		
**	31500		fish or cut bait	act or withdraw				
	31600		fit as a fiddle	perfectly healthy	Yes, I was pretty sick last week, but I’m fit as a fiddle now.			
	31700		fit to be tied	vexed	Andy is fit to be tied after seeing those results.			
	31800	a	flash in the pan	a transient achievement	They’re not that good a team. The upset was just a flash in the pan.	Alludes to the historical flintlock guns, which sometimes misfired with the powder in the pan igniting without igniting the charge in the barrel that propelled the ball.		Implies an achievement unsupported by enduring ability and unlikely to be repeated.
**	31900		flea market					
	32000		fly blind	proceed in ignorance	Neither of us have run this machine before. We’re flying blind here.	Alludes to flying aircraft, where flying at night or in bad weather could mean flying with no visibility.		
**	32100		fly by night (or fly-by-night)	transient and undependable				
	32200		fly by the seat of (one’s) pants	proceed solely by (one’s) intuition	No, I didn’t look at the instructions. I’m flying by the seat of my pants.			Always used in reference to the same person performing the action. One cannot fly by the seat of someone else’s pants.
	32300		fly off the handle	become suddenly furious	Andy is prone to fly off the handle at the least perception of disrespect.	Alludes to the possibility of the head flying off the handle when a poorly made axe is swung, thereby endangering anyone around. 		
	32400		fly the coop	leave	Our kids have all graduated and flown the coop.			Often implies leaving home.
**	32500		fly to close to the sun	be arrogantly ambitious				
	32600		fold (one’s) tents	prepare to leave	The conference wasn’t going well for them, so they folded their tents and went home early.			
	32700		follow suit	do the same	Andy’s salmon order sounds good, so I think I’ll follow suit. 	Alludes to some card games, where a player may be required to play a card of the same suit that was previously played.		
	32800	a	fool’s errand	a pointless effort	Convincing Andy to change his mind is a fool’s errand.			
**	32900		foot soldiers					
	33000		foot the bill	pay	Who’s footing the bill for all your home improvements?			
**	33100		for ducks	for fun	Oh, let’s humor her just for ducks.			
	33200		for the birds	silly	That notion is simply for the birds.			
	33300	a	free agent	unconstrained	Andy broke up with her boyfriend last week, so she’s a free agent.	Alludes to professional sports, where a player whose contract has ended is free to pursue other options.		
	33400		free rein	complete freedom to act	Andy’s manager gave him free rein on this project.	Alludes to horseback riding, where giving the horse a loose, or free, rein allows it to choose its own pace.		
	33500		friendly fire	injury by allies	Andy fell victim to friendly fire when her colleague unintentionally undercut her proposal.			
	33600		from now ’til kingdom come	forever	You can argue from now ’til kingdom come and you won’t change her mind.			
	33700		from stem to stern	completely	We cleaned the cabin from stem to stern.	Alludes to to the nautical terms \		
	33800		from the horse’s mouth	from the source	This is solid information, straight from the horse’s mouth.			
	33900	the	front lines	the area of greatest conflict	Nurses are definitely on the front lines in our health care system.	Alludes to military battles, where the soldiers closest to the enemy — in front — are in the fiercest conflict and greatest danger.		
	34000		frosting on the cake	an unexpected extra benefit	We so enjoyed the work that the award was just frosting on the cake.			
	34100		full steam ahead	maximum effort	We’ve got the resources we need. Now it’s full steam ahead on our project.			
	34200		full tilt	fast and forcefully	They were anxious to get done, so they went at it full tilt.	Probably alludes to the medieval sport of jousting, or tilting, in which two knights rode at each other at full speed in an attempt to unhorse each other with lances.		
GroupG
	34300		game plan	plan	We need to get started with this effort. So what’s our game plan?	Alludes to sports, where a well-prepared team enters a game with a plan to counter the opponent’s strengths and take advantage of its weaknesses.		
	34400		get (or have) (one’s) ducks in a row	get everything ready for action	She’s got her ducks in a row and feels completely ready for the meeting.			
	34500		get (or leave) egg on (one’s) face	embarrass (one)	That gaff at dinner certainly left egg on Andy’s face.			
	34600		get (one’s) goat	annoy (one)	Your comment about Andy’s brother really got her goat.			
	34700		get (one’s) hands dirty	do hard detailed work	Andy’s and hard worker and willing to get her hands dirty.			
	34800		get (one’s) kicks	get (one’s) thrills	Andy gets his kicks by skiing recklessly, so I stay away from him.			
**	34900		get (one’s) ticket punched					
**	35000		get a hat trick	succeed greatly		hockey		
	35100		get a rise out of	provoke a response	Your comment about her brother really got a rise out of Andy.	Probably alludes to fishing, where a fish attracted to bait is said to rise to it.		
**	35200		get back on the horse	don’t give up after a setback		riding		
	35300		get cold (or colder)	get further from the answer	You’re just getting colder with this line of questioning.			
	35400		get cold feet	lose (one’s) courage	Andy was going to ask her out, but he got cold feet.			
	35500		get cranking	get started	That’s enough talk about this hike! Let’s get cranking.	Probably alludes to the method of starting early cars by using a handle in front to crank the engine until ignition.		
	35600		get lost in the shuffle	be overlooked	I spoke up now because I was afraid I’d get lost in the shuffle.	Possibly alludes to card games, where the deck is often shuffled to randomize the order of the cards.		
	35700		get (or be) on (one’s) soapbox	become preachy	Andy always gets on his soapbox when politics enters the conversation.			Implies monopolizing conversation.
	35800		get out of Dodge	leave quickly	Uh-oh, here comes the hall monitor. We better get out of Dodge.			Implies leaving before one’s ill deeds are discovered.
**	35900		get out of jail free card					
	36000		get religion	adopt an idea	Andy didn’t like the new process at first, but now he’s got religion.			
	36100		get the green light	get permission to proceed	Andy got the green light on her thesis proposal.			
	36200		get the memo	be informed	Gee, everyone’s wearing a tie but me. Guess I didn’t get the memo.			Usually used informally.
	36300		get to first base	make at least some progress	Did your project idea even get to first base?			Often implies progress of a romantic or sexual nature.
	36400		get traction	gain acceptance	Did your project idea get any traction?			
	36500		get up to speed	become productive	It always takes a while for anyone to get up to speed on this new technology.			
	36600		get warm (or warmer)	get closer to the answer	I realize I’m completely guessing here, but am I even getting warm?			
	36700		gild the lily	add value unnecessarily	The decorations are perfect. Adding any more would just be gilding the lily.	Alludes to Shakespeare’s metaphor in the play <b><i>King John</i></b>: \		
	36800		give (one) the old heave-ho (or heave ho)	get rid of (one) 	They gave the coach the old heave-ho after three unsuccessful seasons.			Often used to indicate firing someone.
	36900		give (one) the slip	escape being followed by (one)	Those kids tried to follow us, but we went out the side door and gave them the slip.	Alludes to the nautical practice of completely releasing, or slipping, the anchor cable so as to escape quickly.		
**	37000		give it a whirl	give it a try				
	37100		give up the ghost	die	This engine has given us good service for years, but I think it has given up the ghost.			Used informally and jokingly.
	37200		given a bye	allowed to proceed unchallenged 	Students here are usually given a bye on their first offense if it’s not too serious.	Alludes to to sports tournaments, where sometimes a team may not have to compete in the first round, thus getting a bye.		
	37300	the	gloves are off (or coming off)	it's an unrestrained battle	When those two lawyers meet in court, the gloves are always off.	Possibly alludes to hockey, where players remove their gloves for a serious fight.	[ { "id": "99200", "text": "take the gloves off" } ]	
	37400		go (or head) south	go badly	The team isn’t working well together and this project is rapidly going south.			
	37500		go (or quit) cold turkey	quit abruptly and completely	Andy decided that any amount of drinking was not healthy for her, so she went cold turkey.			
	37600		go at it hammer and tongs	engage in complete conflict	They were both so angry that they went at it hammer and tongs. 			
**	37700		go belly up	fail				
	37800		go belly up	fail completely	Andy’s little startup has gone belly up after just six months.			
	37900		go by the board	be removed from consideration	That feature went by the board. We didn’t think it was important or useful.	Alludes to ships and other vessels, where the phrase refers to something going overboard.		
	38000		go down with the ship	stay with a failing enterprise	Andy is seen as responsible for the project’s failure, so he’s going down with the ship.	Alludes to the nautical tradition that a captain remains on a sinking ship.		
	38100		go for broke	risk everything	They’re not going to play for a tie. They need to win so they’re going for broke.			
	38200		go for the gold	try for the highest prize	Andy won’t settle for second best. He’s going for the gold.	Probably alludes to the Olympic Games, where a gold medal is the reward for winning an event.		
**	38300		go great guns	engage enthusiastically	The students love this experiment, so they’re really going great guns on it.	RH Dana, p205		
	38400		go off the deep end	think wildly unrealistically	Andy’s gone off the deep end. He thinks we can do this climb in two hours!			
	38500		go off the rails	become badly broken	We’ve lost sight of our goals and this project has really gone off the rails.	Alludes to a train wreck happening when a train goes off its rails.		
	38600		go postal	become deranged	Andy’s parents went absolutely postal when they discovered he was skipping his classes.	Alludes to a series of shootings by unhinged individuals that occurred several decades ago in the US Postal Service.		
	38700		go to bat for	advocate for	If Andy believes you’re doing your best, she’ll go to bat for you.			
	38800		go to ground	disappear	No one has seen Andy for weeks. He seems to have gone to ground.			
	38900		go to hell in a handbasket	be on the path to disaster	This company has no direction and I think it’s going to hell in a handbasket.			
	39000		go to seed	decline in quality	After his divorce, Andy has let himself go to seed.			
	39100		go to the dogs	rapidly fall apart	This company has no direction and I think it’s going to the dogs.			
	39200		go to the mat for	advocate strongly for	If Andy believes in you, she’ll go to the mat for you.	Alludes to wrestling, where going to the mat represents real struggle.		
	39300		go to town	engage enthusiastically	The students love this experiment, so they’re really going to town on it.			
**	39400		golden parachute					
	39500		good Samaritan	beneficent bystander	Some good Samaritan found her wallet and returned it without taking anything.			Usually implies that the bystander is a stranger.
	39600		grab the brass ring	succeed	Andy is focused and doing well. I think she’ll grab the brass ring.	Alludes to the historical practice of suspending brass rings just within the reach of carousel riders that, when grabbed, resulted in a prize.		
	39700		grasp at straws	desperately seek answers	I have no idea what the answer is. I’m just grasping at straws.			
	39800	the	graveyard shift	the overnight shift	We won’t see much of Andy this summer. She’s working the graveyard shift.	Possibly alludes to the perhaps apocryphal tradition of tending a grave overnight to ensure that interred person was actually dead.		
	39900		grease (one’s) palm	bribe (one)	Even though it’s illegal, you’re expected to grease people’s palms when doing business in many foreign countries.			
	40000		grease the skids	ease the effort	The last team greased the skids for us, so completing this job should be easy.			
	40100	the	greatest thing since sliced bread	a truly marvelous thing	Andy thinks his idea will be the greatest thing since sliced bread.			Often used facetiously.
**	40200		green with envy					
**	40300		grist for the mill					
	40400		ground zero	the focal point of action	The central square is ground zero for the protest, so the police are hanging out there.	Probably alludes to testing of bombs, where the phrase refers to the point of impact and explosion.		
	40500		guinea pig	subject of an experiment	She’s trying a new teaching approach this term, so we get to be her guinea pigs.	Alludes to the perhaps apocryphal notion that scientific experiments are often performed on guinea pigs.		
GroupH
**	40600	a	Hail Mary	a desperate attempt				
**	40700		hair of the dog					
	40800	a	hall pass	permission	Andy got a hall pass from his wife, so he’s going with us this weekend.			
	40900	a	hammer lock	an unbreakable hold	Andy’s accumulated so many points that he’s got a hammer lock on the prize.			
**	41000		handed (one’s) hat					
	41100		handle (one) with kid gloves	treat (one) delicately	She’s vain and sensitive. You’d better handle her with kid gloves.			
	41200		hands down	without question	Andy won that debate hands down.			
	41300	the	handwriting on the wall	the unwelcome evidence 	I was hoping to work here longer, but I can see the handwriting on the wall.	Alludes to the Biblical story in the book of <b><i>Daniel</i></b> of handwriting that magically appeared on a wall foretelling the downfall of a Babylonian king.		Often implies that the evidence is also intangible.
	41400		hang (one) out to dry	abandon (one)	He was just doing his job, but when the problems arose the company hung him out to dry.			
**	41500		hang fire	fail		old gun not firing		
	41600		hang in the balance	be at risk	It’s important that Andy get this job. His family’s future hangs in the balance.			
	41700		happy as a clam	content	I’m warm, dry, and well fed now, so I’m happy as a clam.			
	41800	a	happy camper	content	I’ve been sick all week, so I’m not a very happy camper.			
	41900		happy hour	time to have a drink	I’m exhausted from meetings all day. Is it happy hour yet?	Probably alludes to a short relaxation period for all crew possible on historic sailing vessels. Usually late afternoons, a time to unwind after work		
	42000	a	hard act to follow	a performance that sets a high standard	Andy is a hard act to follow, but I think you’ll find my presentation interesting also.	Probably alludes to vaudeville, which typically had numerous acts within the same show.		
	42100	a	hard ass	a hard taskmaster	That professor’s a real hard ass, but his students learn a lot and actually enjoy his class.	Probably alludes to historical American cavalry general George Custer, who was labeled \		
	42200		has (one’s) fingerprints all over it	shows strong evidence of (one’s) involvement	It’s hard to know for sure, but this joke has Andy’s fingerprints all over it.			
	42300		have (or get) (one) up a tree	leave (one) with no escape	They’ve rejected every one of his arguments, so now they have him up a tree.			
**	42400		have (one’s) back	be protective of (one)				
	42500		have (one’s) head in the sand	remain willfully ignorant	Climate change is an impending disaster, but too many people have their heads in the sand.	Alludes to ostriches, which are mistakenly thought to bury their heads in sand thinking they have thereby escaped danger.		
	42600		have (one’s) work cut out for (one)	have (one’s) work clearly defined	This cabin needs so many repairs. We’ve got our work cut out for us.			Implies challenging work.
**	42700		have (something), will travel	have expertise in (something)		Paladin		
	42800		have nine lives	repeatedly and surprisingly survive 	Some politicians seem to have nine lives. They say stupid things yet keep getting re-elected. 			
	42900		have the bit between (one’s) teeth	be fully in action	Andy didn’t want to take that project on, but now she has the bit between her teeth.			
	43000		have the last laugh	end up in the better position	Andy used to beat me regularly, but I’ve been secretly practicing, so I think I’ll have the last laugh.			Often implies ending up in the better position unexpectedly. 
**	43100	a	head start					
	43200		head them up and move them out	get them moving	These kids should be on the bus by now. Let’s head ‘em up and move ‘em out.	Alludes to herding cattle in the American West.		Usually used informally as \
	43300		heads up	alert	I got a heads up from Andy about the quiz today or I would have been completely unprepared.	Probably alludes to baseball, where a player must look up to see a fly ball.		
	43400		heads will roll	people will be punished	Heads will roll after that catastrophic demo cost us the sale.	Alludes to the historical practice of decapitating individuals convicted of crimes against the king, the queen, or the state.		
	43500		hear (something) through the grape vine	hear (something) via rumor	I heard through the grape vine that he and Andy are seeing each other now.			
	43600	the	heavy artillery	the most influential people	This is a very important case, so the firm is bringing in the heavy artillery on this one.		[ { "id": "6000", "text": "big gun" } ]	
	43700		heavy hitter	influential person	Andy is one of their heavy hitters. They only bring her in for the most important negotiations.			
	43800	the	heavy lifting	the hard work	I can’t take credit for this. Andy did all the heavy lifting.			
**	43900		hell bent for leather					
	44000		hell on wheels	a person of notoriety	She’s hell on wheels. She makes an impression wherever she goes.	Alludes to the historical practice of providing entertainment for rail workers in the American west with a saloon and brothel on wheels, referred to as \		Can imply that the notoriety is not necessarily for bad actions.
	44100		herd cats	attempt to impose order on chaos	Getting a bunch of ten-year-old boys to focus on a group project is like herding cats.			
	44200		high and dry	without recourse	She tried every avenue of appeal that the school offers. All were denied, so now she’s high and dry. 	Alludes to a boat that has run aground at high tide that later is entirely out of the water.		
	44300	a	high bar	a demanding standard	They set a very high bar for admittance to the club.	Alludes to to high-jumping in track and field, where a higher bar makes the jump harder.	[ { "id": "57300", "text": "a low bar" }, { "id": "87400", "text": "set the bar low" }, { "id": "87300", "text": "set the bar high" } ]	
	44400		high noon	the critical moment	This is high noon for the team. They must win this game or go home.	Alludes to the perhaps apocryphal tradition that gunfights in the American west were held at high noon, as memorialized in the movie <b><i>High Noon</i></b>.		
	44500		high on the hog	luxuriously	Andy got a big end-of-year bonus, so he’s living high on the hog for a while.	Alludes to the fact that the preferable meat comes from higher on the hog.		
	44600		higher on the food chain	of higher authority	Andy’s higher on the food chain than I am, so she ultimately sets my priorities.			
	44700		highway robbery	exorbitant	I don’t patronize them. Their prices are highway robbery.			
	44800	a	hired gun	an outside expert	Andy’s a hired gun. She travels around the country giving expert medical testimony.			
**	44900		hit below the belt	play unfairly		boxing		
	45000		hit (or strike) paydirt	find something of great value	There’s a tremendous amount of useful information here. I think we’ve struck pay dirt.	Alludes to mining, where the phrase refers to discovering valuable ore in a claim.		Can imply value that is not financial.
**	45100		hit the cover off the ball	succeed hugely				
	45200		hit the ground running	be effective immediately	Andy’s had previous experience with this technology, so she can hit the ground running.			
	45300		hit the jackpot	locate a bonanza	We’ve hit the jackpot! We finally found a source for the parts we need.	Alludes to gambling, where the phrase refers to significant winnings.		
	45400		hocus pocus (or hocus-pocus)	trickery	I think there’s a bunch of hocus pocus going on with the demo. 	Possibly a corruption of the Latin phrase \		
	45500		hoist by (one’s) own petard	snared by (one’s) own arguments	Andy’s been arguing that they must stick to the budget, but now that he’s got a big project in mind, he’s being hoist by his own petard.			
	45600		hold (one’s) feet to the fire	make (one) suffer	The execs are holding Andy’s feet to the fire until she changes her mind.	Alludes to a medieval form of torture.	[ { "id": "99300", "text": "take the heat" } ]	
	45700		hold all the cards	have the advantage	We’ve got no chance here. Andy holds all the cards.	Alludes to card games where holding a hand full of strong cards is an advantage.		
	45800		hold serve	maintain (one’s) position	They’ve tried very hard to get Andy’s project derailed, but so far she’s holding serve.	Alludes to tennis, where to hold serve is to win the game in which one is serving, or volleyball, where a team wins a point on which it served and thus retains the serve.		
	45900		hold the fort	maintain the base of operations	Can you hold the fort while I’m away?			Often used lightly.
	46000		hold your horses	be patient	Hold your horses, Andy. We’ve still got a lot of planning to do.			
	46100	the	Holy Grail	the ultimate reward	A cure for cancer is the Holy Grail of medical research.	Alludes to the Christian legend that the cup, or grail, that Jesus used during the Last Supper is still to be found somewhere in the world. Traditionally, the Holy Grail was the object of quests by medieval knights.		
	46200	the	home stretch	the final stages	Now that testing is done, this effort is in the home stretch.	Alludes to horse racing, where the phrase refers to the final straight length of track before the finish line.		
**	46300		horse has left the barn					
	46400	a	horse headed for the barn	(someone) rushing to finish	Andy’s on the last chapter of her thesis and she’s like a horse headed for the barn.			
**	46500	the	horse latitudes	an area where nothing moves				
	46600	a	horse of a different color	a different situation	I’m happy to help, but if you’re asking me to work over the weekend that’s a horse of a different color.			
	46700		horse sense	common sense	This problem required nothing more than good old horse sense.			
	46800	a	hue and cry	a commotion	There was a big hue and cry after the news broke, but it died out soon enough.	Alludes to the historical obligation to raise an outcry in pursuit of a criminal.		Derived from the historical French phrase \
GroupI
	46900		I have a bridge to sell you	you’ll believe anything	If you think that big corporations have your best interest in mind, I have a bridge to sell you.			
**	47000		in (one’s) wheelhouse	in (one’s) area of expertise				
	47100		in (one’s) ivory tower	in (one’s) imaginary, impractical world	Andy’s off in his ivory tower, dreaming of a post-capitalism world.	Possibly alludes to a graduate research institution at Princeton that was partially sponsored by the founder of the company that manufactured Ivory Soap. However, there are earlier uses of the phrase in the Bible (<b><i>Solomon 7:4</i></b>) and in the French poem of 1837 <b><i>Pensées d’Août</i></b>, à M. Villemain.		Often used pejoratively.
	47200		in a different league	operating at a higher level	I can’t compete with those guys. They’re in a different league.			
	47300		in a full court press	applying maximum pressure	The lobbyists are in a full court press to get this bill defeated.	Alludes to the style of defense that covers the whole court in basketball.		
	47400		in a league of (one’s) own	at a distinctly high level of competence	I’m good at what I do, but Andy is in a league of her own.			
	47500		in a slump	not functioning up to (one’s) usual standard	Andy’s in a real slump. He hasn’t won a match in weeks.			
	47600		in bed with	in close cooperation with	She has been in bed with Andy all along. They were just pretending to disagree.			
	47700		in cahoots	in close cooperation	She and Andy have been in cahoots all along. They were just pretending to disagree.			
	47800		in fighting trim	well-prepared	Andy says she’s in fighting trim and ready for this trial.	Alludes to the nautical phrase referring to a ship prepared for battle.		Implies preparation for a test or conflict.
**	47900		in full cry	in hot pursuit		Possibly alludes to the historical practice of hunting by hounds, where the hounds became very vocal while in pursuit of prey.		
	48000		in la-la land	detached from reality	He thinks Andy will accept his invitation to the dance, but he’s obviously in la-la land.			
	48100		in never-never land	detached from reality	He’s so hopeful about a date with Andy, but I think he’s in never-never land.	Alludes to the novel \		
**	48200		in stitches	laughing uncontrollably				
	48300		in the ballpark	within a reasonable range	I think that estimate is in the ballpark, but we need more information to be more precise.			
	48400		in the cards	likely to happen	I’m sorry to tell you this, but a trip to Europe is just not in the cards this year.			Often used in the negative, as shown.
	48500		in the cross hairs	targeted	Andy’s perceived as vulnerable in the next election,  so she’s in the opposition’s cross hairs.			
	48600		in the dog house (or doghouse)	out of favor	After Andy’s misbehavior over the weekend, his wife has him in the dog house.	Probably alludes to the small shelters for dogs frequently found in the backyards of homes. 		
	48700		in the driver’s seat	in control	Andy’s got the blueprints and the experience, so he’s definitely in the driver’s seat for now.			
	48800		in the homestretch	almost done	We can’t ease off on our efforts now — we’re in the homestretch.			
	48900		in the hunt	in contention	They’ve won their last several games, so I think they’re in the hunt for the trophy.			
	49000		in the line of fire	in the way of hostility 	Andy was really upset about something, and I just happened to be in the line of fire.	Alludes to the trajectory of bullets or other ammunition being termed the \		
	49100		in the penalty box	undergoing punishment	Andy’s been out too late several nights this week, so her parents have her in the penalty box. We won’t see her tonight.	Alludes to ice hockey, where the phrase refers to a seat where a player who has committed a foul must spend a designated time off the ice.		
	49200		in the pipeline	in process	How many recruits do we have in the pipeline?			
	49300		in the trenches	doing the hard, detailed work	The managers don’t know how hard this work is. We’re the ones in the trenches.	Alludes to the once common military practice of digging trenches to protect infantry in the front lines of battles.		
**	49400		Indian file	single file				
	49500	the	inside track	the advantage	I think Andy has the inside track on the new position. She’s a friend of the hiring manager.	Alludes to racing of many kinds where having the inside line on the oval racetrack is advantageous.		
**	49600		ironed out	settled				
**	49700		is it soup yet?	is it complete?				
	49800		it ain’t (or isn’t) over ’til the fat lady sings	the event isn’t over until the official end	This game looks lost, but you know it ain’t over ’til the fat lady sings.	Probably alludes to the stereotypical belief that every opera ends with the diva, stereotypically a substantial woman, singing an aria.		
	49900		it’s a jungle out there	it’s a dangerous and unforgiving world	It’s a jungle out there and you’ve got to take care of yourself.			
	50000		it’s greek to me	I don’t understand it at all	This report is greek to me. It’s way too technical.			
GroupJ
	50100		jerking (one’s) chain	teasing (one)	You can ignore Andy. He just likes to jerk people’s chains.	Possibly alludes to the once common practice of bear-baiting, where a bear chained to a post was set upon by dogs.		Can imply intentionally annoying teasing.
**	50200		johnny on the spot	ready with what is needed				
	50300		jump on the bandwagon	join the enthusiasts	So many people are raving about this diet, Andy decided to jump on the bandwagon.			
	50400	a	jump start	a jolt of energy	This group needs a jump start. How can we get them motivated?			
	50500		jump the gun	act too soon	I think you jumped the gun with that purchase. They’re coming out with a new version next month.			
**	50600		jump the shark	try too hard		Happy Days		and implausible
	50700		jump through hoops	perform useless tasks	They’re making Andy jump through all kinds of hoops before they’ll allow him to graduate.			Often implies tasks that are bureaucratic in nature.
	50800	the	jury is still out	the issue remains undecided	The jury’s still out on whether Andy is up to the challenge.	Alludes to the legal practice of jury trials, where the jury retires from the courtroom to decide the outcome of a trial.		
**	50900		jury rig	contrive a makeshift solution		nautical		
GroupK
**	51000		Kabuki theater (or dance)	showy but hollow performance	The investigation was just a bit of Kabuki theater, too cursory to uncover any significant details.	Alludes to the extravagantly stylized form of theater historically popular in Japanese culture.		
	51100	a	kangaroo court	a pretense of a fair hearing	It was a kangaroo court and Andy never had a chance to defend himself.			
**	51200		Katy, bar the door	trouble’s on the way				
	51300		keep (or have) an ear to the ground	be alert	Let’s keep an ear to the ground. There may be something to these rumors.	Alludes to the historical practice among Native Americans and others in the American west of putting an ear to the ground to hear the hoofbeats of distant horsemen.		
	51400		keep (one’s) eye on the ball	pay attention	There are so many distractions at work that it’s hard to keep my eye on the ball.			
	51500		keep (one’s) powder dry	conserve resources	This is just the beginning of our negotiations. We need to keep our powder dry until we reach the critical issues.	Alludes to early muzzle-loading rifles, the use of which required carrying a separate stash of gunpowder that had to be kept dry.		
	51600		keep (one’s own) nose clean	behave (oneself)	Keep your nose clean this term. I don’t want to hear any bad reports.			Usually used as a command.
	51700	a	kick start	a jolt of energy	This group needs a kick start. How can we get them motivated?			
**	51800		kick the bucket	die				Used informally and jokingly.
	51900		kick the can down the road	delay action	It’s a tough decision and they’re afraid to make a mistake,  so they’re just kicking the can down the road.			Implies action delayed for someone else to handle in the future.
	52000		kick the tires	test the quality	Have you had a chance to kick the tires on Andy’s latest prototype?	Alludes to perhaps apocryphal belief that one should test the quality of a used car before purchase by kicking the tires and slamming the doors.		
	52100	a	king’s ransom	an absurd amount	They’re asking a king’s ransom for a product that’s only average.			
	52200		knee jerk (or knee-jerk) reaction	unthinking reaction	That’s Andy’s knee jerk reaction to anything smacking of socialism.	Alludes to the medical practice of testing a patient’s reactions by tapping the front of the knee with a small rubber mallet to produce the usual involuntary response.		
	52300	a	knight in shining armor	a savior	Andy’s hoping for a knight in shining armor, but she needs to work things out for herself.	Probably alludes to the stereotypical medieval tale in which a noble knight arrives in the end to save the princess, slay the dragon, etc.		Implies that the savior is unrealistically hoped for.
**	52400		knock it off	stop it		signal by drum to stop rowing a galley		
**	52500		knock yourself out	try it for yourself	Everyone else has failed to fix this, but sure, knock yourself out. 			Implies that you don’t know what you’re getting into.
**	52600		knock-down drag-out	unrestrained				
	52700		know the drill	understand the situation	You know the drill when Andy’s upset, right? We all have to respond like this is a real crisis.			
	52800		know the ropes	have the experience	I know you know the ropes here. I don’t have to explain how we do things.	Alludes to having to learn the uses of the many ropes on a sailing vessel.		
	52900		know where the bodies are buried	know the embarrassing secrets	Andy’s been in the club for years and she knows where the bodies are buried.			
GroupL
	53000	a	lame duck	at the end of (one’s) tenure	They’ve already hired a new coach, so Andy’s a lame duck — no one will listen to her.	In the mid-eighteenth century in Britain, originally alluded to a stock broker who could not pay his debts and lost his position on the stock exchange. Only much later did the phrase tale on its present meaning.		Occurs when someone has been supplanted but is still in position.
	53100		last ditch	final and desperate	Andy made a last ditch effort to save her position here, but she’s made too many mistakes.	Possibly alludes to the military practice of digging successive trenches to protect infantry, where the rearmost trench or ditch is the final defense.		
